Présidentielle 2007 - 1er Tour;22/04/2007;18;33;18;75118;PARIS 18;1454;1272;1270;12;SARKOZY;Nicolas;430;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;39;17;75118;PARIS 18;1542;1356;1342;8;ROYAL;Ségolène;489;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;43;17;75118;PARIS 18;1612;1430;1423;12;SARKOZY;Nicolas;395;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;44;17;75118;PARIS 18;1710;1487;1472;6;VOYNET;Dominique;45;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;45;17;75118;PARIS 18;1717;1484;1464;2;BUFFET;Marie-George;27;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;45;17;75118;PARIS 18;1717;1484;1464;4;BAYROU;François;340;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;45;17;75118;PARIS 18;1717;1484;1464;5;BOVE;José;18;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;45;17;75118;PARIS 18;1717;1484;1464;6;VOYNET;Dominique;24;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;46;17;75118;PARIS 18;1285;1028;998;6;VOYNET;Dominique;5;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;47;17;75118;PARIS 18;1307;1046;1028;2;BUFFET;Marie-George;25;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;48;19;75118;PARIS 18;1091;900;882;5;BOVE;José;14;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;48;19;75118;PARIS 18;1091;900;882;11;LAGUILLER;Arlette;5;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;49;19;75118;PARIS 18;1728;1469;1457;9;NIHOUS;Frédéric;1;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;51;19;75118;PARIS 18;1762;1473;1456;3;SCHIVARDI;Gérard;6;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;56;19;75118;PARIS 18;1766;1492;1484;1;BESANCENOT;Olivier;58;;;
Présidentielle 2007 - 1er Tour;22/04/2007;18;57;19;75118;PARIS 18;1872;1629;1611;3;SCHIVARDI;Gérard;4;;;
Présidentielle 2007 - 1er Tour;22/04/2007;10;23;5;75110;PARIS 10;1561;1341;1330;6;VOYNET;Dominique;23;;;
Présidentielle 2007 - 1er Tour;22/04/2007;10;27;5;75110;PARIS 10;1699;1481;1474;6;VOYNET;Dominique;22;;;
Présidentielle 2007 - 1er Tour;22/04/2007;10;28;5;75110;PARIS 10;1777;1544;1534;10;LE PEN;Jean-Marie;44;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;7;7;75111;PARIS 11;1397;1232;1219;7;de VILLIERS;Philippe;7;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;8;7;75111;PARIS 11;1477;1307;1293;12;SARKOZY;Nicolas;347;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;9;7;75111;PARIS 11;1354;1194;1185;6;VOYNET;Dominique;30;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;12;7;75111;PARIS 11;1234;1066;1061;11;LAGUILLER;Arlette;10;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;13;7;75111;PARIS 11;1178;1031;1020;2;BUFFET;Marie-George;22;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;13;7;75111;PARIS 11;1178;1031;1020;6;VOYNET;Dominique;23;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;14;7;75111;PARIS 11;1425;1269;1262;9;NIHOUS;Frédéric;2;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;14;7;75111;PARIS 11;1425;1269;1262;12;SARKOZY;Nicolas;349;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;17;7;75111;PARIS 11;1459;1247;1238;11;LAGUILLER;Arlette;15;;;
