48.8656370983, 2.36742916036;"{""type"": ""Polygon"", ""coordinates"": [[[2.363911628067616, 48.86749041548438], [2.365207331176307, 48.868055681275045], [2.36589812104511, 48.86690108578163], [2.365803569516127, 48.86673055965152], [2.367797562858465, 48.866378395194104], [2.368132188048757, 48.86646572246421], [2.368746891022041, 48.865440186417096], [2.369727528981625, 48.86570252728887], [2.370890213652519, 48.86413740916412], [2.369212138727082, 48.86343800836594], [2.368454413322298, 48.86464061240785], [2.36829437252143, 48.864594041231335], [2.367475930637975, 48.865120736791255], [2.366463744396675, 48.8648632467917], [2.365765887805292, 48.86552837330039], [2.365368917091239, 48.865439354930416], [2.364795429550138, 48.866413109057454], [2.364275986334314, 48.8672675553637], [2.363911628067616, 48.86749041548438]]]}";11;21;1686.56365561;81806.8722882
48.8667854019, 2.37173659233;"{""type"": ""Polygon"", ""coordinates"": [[[2.369106228308655, 48.86654803064572], [2.369750965050566, 48.866810593525564], [2.371162642308063, 48.86626397297175], [2.369759656086402, 48.86844921979945], [2.372416430023189, 48.868096968716536], [2.374479639872201, 48.865275543625614], [2.370755520192706, 48.8659709033506], [2.369727076170713, 48.86570644335371], [2.369106228308655, 48.86654803064572]]]}";11;23;1455.7288135;67207.6007684
48.8689105605, 2.37104879703;"{""type"": ""Polygon"", ""coordinates"": [[[2.370945994557279, 48.86993252457158], [2.37178762189554, 48.87017767395258], [2.372881777185917, 48.87051160512208], [2.37292452053064, 48.870472335716464], [2.371583456453536, 48.87007772954073], [2.371954457277646, 48.86962701357969], [2.372634340516226, 48.86889836412353], [2.373133003457216, 48.868584283750856], [2.373423257610605, 48.868169680720186], [2.373564503205296, 48.867623343197224], [2.372845372698769, 48.86759721373389], [2.372442616071943, 48.86813644288119], [2.371295052923967, 48.86831409645169], [2.368131878544337, 48.868691171333055], [2.367928617648468, 48.86889967954249], [2.36850986223703, 48.8691055798104], [2.369505274299801, 48.86948626975009], [2.370945994557279, 48.86993252457158]]]}";11;27;1303.29101302;49109.4711985
48.8602316859, 2.37131695491;"{""type"": ""Polygon"", ""coordinates"": [[[2.368922724541432, 48.860804029514654], [2.37008571352237, 48.86131483970868], [2.370833150993463, 48.86140735226373], [2.372750958136291, 48.86192286027789], [2.37318959264527, 48.86154704119464], [2.372683783741056, 48.859276522449065], [2.371863817293106, 48.85811387135926], [2.370807958145359, 48.85776038570437], [2.370665931999833, 48.857882329007744], [2.371135177096189, 48.85866251730013], [2.371819112618697, 48.860190183116075], [2.369129967523159, 48.85952852327102], [2.368922724541432, 48.860804029514654]]]}";11;16;1488.47433112;70932.525169
48.8613315841, 2.37625509254;"{""type"": ""Polygon"", ""coordinates"": [[[2.378583647549116, 48.860273201681196], [2.376884611473498, 48.85975701773907], [2.374902972706483, 48.86092368859265], [2.375136117471093, 48.86107287280865], [2.373998245969792, 48.862128741545284], [2.375656722429289, 48.86295120382668], [2.376353420618001, 48.86277717196292], [2.376925586388809, 48.86202763389762], [2.378583647549116, 48.860273201681196]]]}";11;26;1030.12054502;58753.063977
48.8554823557, 2.37005000572;"{""type"": ""Polygon"", ""coordinates"": [[[2.368214644672046, 48.857027766873365], [2.369639470638707, 48.857489119555765], [2.370665056903502, 48.857880649279394], [2.370808716834723, 48.85775630206531], [2.371136465560894, 48.85786614491001], [2.370616758088513, 48.856655491321845], [2.37196620641911, 48.85534457122425], [2.37219606123732, 48.85536108967796], [2.372655037160992, 48.855112915921126], [2.371383727425974, 48.85434230727437], [2.370223047830651, 48.85326674431296], [2.369138468833091, 48.85318647841153], [2.368214644672046, 48.857027766873365]]]}";11;15;1410.51032828;91556.7033633
48.857992217, 2.37789590187;"{""type"": ""Polygon"", ""coordinates"": [[[2.375760197627196, 48.85939972770802], [2.376879023112514, 48.85974849083637], [2.379248281182344, 48.85831863370144], [2.379709876705896, 48.85747069619847], [2.379221252879582, 48.85666594673104], [2.378665168293234, 48.85569603386582], [2.378548627360156, 48.855909361062814], [2.377840035496949, 48.85676275515773], [2.376960214748891, 48.85793636684179], [2.37660666851975, 48.85799774689859], [2.376238028540386, 48.85848385348483], [2.375760197627196, 48.85939972770802]]]}";11;13;1112.30141147;58000.221135
48.8555038115, 2.38291963118;"{""type"": ""Polygon"", ""coordinates"": [[[2.380262084543778, 48.85747861939715], [2.380546019070673, 48.8575744340319], [2.382239926281362, 48.85654997399454], [2.382416625177827, 48.85664705784545], [2.385437748041681, 48.85489068182831], [2.385360254694201, 48.85474543411938], [2.382619578298204, 48.854086906845], [2.380767840211949, 48.85720381374279], [2.380262084543778, 48.85747861939715]]]}";11;5;1155.83967967;49374.469288
48.856614609, 2.38676611939;"{""type"": ""Polygon"", ""coordinates"": [[[2.385151155417042, 48.857096267362465], [2.383700261628972, 48.85853539281555], [2.384607733437657, 48.858765094901436], [2.385148543364726, 48.85789817947855], [2.385608264887716, 48.857209995280016], [2.386840764180319, 48.85750431954062], [2.387165145968059, 48.856910003927105], [2.388451499689257, 48.85690273312148], [2.389137163085715, 48.85544379375237], [2.387125678417429, 48.85513611494702], [2.386336495087517, 48.8559367502949], [2.385151155417042, 48.857096267362465]]]}";11;43;1295.33469821;51215.7013348
48.8579443409, 2.38732061735;"{""type"": ""Polygon"", ""coordinates"": [[[2.387168262485758, 48.8569153417963], [2.386842469994414, 48.857510197307455], [2.385616732504502, 48.85721557610157], [2.385153622518473, 48.857899294458925], [2.384612816926011, 48.85877067720191], [2.385906307936907, 48.85908955695732], [2.386214463510382, 48.859183242451], [2.38684767735542, 48.85934379808724], [2.38757081167224, 48.85803451203311], [2.38940261773627, 48.85840895708954], [2.389578732850127, 48.85848705764557], [2.38991375107353, 48.858370749198585], [2.389864607452419, 48.85813971494829], [2.389988777848955, 48.85794348846687], [2.389633402721502, 48.85689765234129], [2.387168262485758, 48.8569153417963]]]}";11;42;1218.72048565;60672.5309244
